Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
esomeprazol,B3,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
estetrol (como monohidrato),B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
estradiol,B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
estramustina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
estriol,B1,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
estropipato,B1,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
ácido etacrínico,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
etanercept,D, El etanercept atraviesa la placenta y se ha detectado en el suero de bebés nacidos de pacientes tratadas con etanercept. Los bebés pueden tener un mayor riesgo de infección.,Alergia y sistema inmunológico,Inmunomodificadores,
etambutol,A,,Antimicrobianos,Antituberculosos y antilepróticos,
etinilestradiol,B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
etosuximida,D,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
etidocaína,B1,,Medicamentos utilizados en anestesia,Anestésicos locales,
etidronato disódico,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
etonogestrel,B3,,Agentes anticonceptivos,,
etopósido,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
etoricoxib,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
etrasimod arginina,D,"La administración de etrasimod durante el embarazo en ratas y conejos produjo efectos adversos sobre el desarrollo, incluyendo embrioletalidad, malformaciones fetales y un mayor número de mortinatos.",Alergia y sistema inmunológico,Inmunomodificadores,
etravirina,B1,,Antimicrobianos,agentes antivirales,
etretinato,incógnita,"Este medicamento es teratogénico en dosis dentro del rango terapéutico. Se almacena en el organismo durante varios meses después de suspenderlo. Debido a su larga vida media y a su almacenamiento en la grasa, se recomienda a las pacientes no concebir hasta dos años después de suspender el tratamiento debido al riesgo de malformaciones congénitas. Si se produce un embarazo durante el tratamiento con este medicamento, existe un alto riesgo de malformaciones congénitas.",Medicamentos utilizados en Dermatología,Sistémico,
everolimus,do,,Alergia y sistema inmunológico,Inmunomodificadores,
evolocumab (rch),B1,,Sistema cardiovascular,Agentes hipolipidémicos,
exemestano,do,El exemestano altera el metabolismo dependiente de estrógenos y puede provocar aborto.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
exenatida,do,,Sistema endocrino,agentes hipoglucemiantes,
ezetimiba,B3,La hiperlipidemia fisiológica del embarazo no requiere tratamiento.,Sistema cardiovascular,Agentes hipolipidémicos,
factor IX (humano),do,El uso seguro de este medicamento durante el embarazo no se ha establecido en ensayos clínicos controlados.,Sistema cardiovascular,Agentes hemostáticos,
factor IX (r CHO),B2,,Sistema cardiovascular,Agentes hemostáticos,
famciclovir,B1,,Antimicrobianos,agentes antivirales,
famotidina,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
fampridina,do,,Sistema nervioso central,,
faricimab,D,"Según el mecanismo de acción de faricimab (inhibición del VEGF y la angiotensina 2), existe un riesgo potencial para la capacidad reproductiva femenina y el desarrollo embriofetal. Se ha demostrado que la inhibición del VEGF causa malformaciones, reabsorción embriofetal y disminución del peso fetal. No existen estudios específicos que analicen los efectos de la inhibición de la angiotensina 2 en el embarazo. Según información preclínica, la inhibición de la angiotensina 2 puede producir efectos comparables a los de la inhibición del VEGF. La exposición sistémica tras la administración ocular de faricimab es muy baja.",Medicamentos oftálmicos,,
febuxostat,B1,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,
felodipino,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio
fenfluramina,B2,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,
fenofibrato,B3,La hiperlipidemia fisiológica del embarazo no requiere tratamiento.,Sistema cardiovascular,Agentes hipolipidémicos,
fenoterol,A,,Sistema cardiovascular,estimulantes adrenérgicos,
fenoterol,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
fentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
fentanilo/ropivacaína,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes no esteroides y antiinflamatorios),
carboximaltosa férrica,B3,,Sangre y sistema hematopoyético,,
ferucarbotrán,B1,,Agentes de diagnóstico,Agentes radiográficos,
fexofenadina,B2,,Alergia y sistema inmunológico,Antihistamínicos,
fezolinetante,B3,,Sistema nervioso central,,
fibrina,B2,,Sistema cardiovascular,Agentes hemostáticos,
fibrinógeno,B2,,Sistema cardiovascular,Agentes hemostáticos,
fibrinógeno / trombina,B2,,Sistema cardiovascular,Agentes hemostáticos,
fibronectina,B2,,Sistema cardiovascular,Agentes hemostáticos,
fidaxomicina,B1,,Antimicrobianos,Antibióticos,
filgrastim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
finasterida,incógnita,La finasterida puede provocar anomalías en los genitales externos de un feto masculino.,Medicamentos utilizados en Dermatología,Actual,
finasterida,incógnita,La finasterida puede provocar anomalías en los genitales externos de un feto masculino.,Sistema genitourinario,Hiperplasia de próstata,
finerenona,D,"Se observaron efectos adversos sobre el desarrollo embriofetal, incluida teratogenicidad, con finerenona en ratas.",Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
fingolimod,D,Este medicamento provoca malformaciones cardiovasculares en ratas y pérdida y/o aborto post-implantación en ratas y conejos.,Alergia y sistema inmunológico,Inmunomodificadores,
flecainida,B3,,Sistema cardiovascular,Antiarrítmicos,
fleroxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas
flucloxacilina,B1,,Antimicrobianos,Antibióticos,penicilinas
fluconazol,D,"Se debe considerar el uso de métodos anticonceptivos eficaces en mujeres en edad fértil, los cuales deben continuar durante todo el tratamiento y aproximadamente una semana (5 a 6 vidas medias) después de la última dosis. Se han notificado casos de aborto espontáneo y anomalías congénitas en lactantes cuyas madres recibieron 150 mg de fluconazol en dosis única o repetidas durante el primer trimestre. Dosis repetidas de fluconazol (400-800 mg diarios) se han asociado con un patrón constante de defectos congénitos similar al observado en estudios con animales.",Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
flucitosina,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
fludarabina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
fludrocortisona (sistémica),do,,Sistema endocrino,Corticosteroides,Sistémico
fludrocortisona (tópica),A,,Sistema endocrino,Corticosteroides,Actual
flumazenil,B3,," Agentes desintoxicantes, antídotos",,
flumetasona,A,,Sistema endocrino,Corticosteroides,Actual
flunisolida,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal
flunitrazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
fluocinolona,A,,Sistema endocrino,Corticosteroides,Actual
fluocortolona,A,,Sistema endocrino,Corticosteroides,Actual
fluoresceína sódica (sistémica),B2,,Medicamentos oftálmicos,,
fluorometolona,B3,,Medicamentos oftálmicos,,
fluorouracilo,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
fluoxetina,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS)
fluoximesterona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,
flupentixol,do,"Cuando se administran en dosis altas al final del embarazo, compuestos relacionados han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,
flufenazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,fenotiazinas
flurazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
flurbiprofeno,do,"No se ha establecido la seguridad de este producto durante el embarazo humano. Estudios reproductivos en ratas mostraron que el flurbiprofeno tuvo un efecto significativo en el parto a dosis >0,4 mg/kg/día. Además, se consideró que el flurbiprofeno era embrioletal a dosis >4,0 mg/kg/día. Debido a los efectos conocidos de los fármacos inhibidores de prostaglandinas en el sistema cardiovascular fetal de las ratas (cierre del conducto arterioso), debe evitarse el uso de colirios de flurbiprofeno durante la última etapa del embarazo. El flurbiprofeno solo debe utilizarse durante el embarazo cuando el beneficio potencial para la paciente supere el riesgo potencial para el feto.",Medicamentos oftálmicos,,
furoato de fluticasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal
